ticker,company,sector,industry,pe,fwd_pe,eps_qq,sales_qq,insider_trans,inst_trans,short_float,perf_quarter,perf_half,beta,pct_from_52w_high,recom,avg_volume,rel_volume,price,earnings,target_price,market_cap
AMSC,American Superconductor Corp,Industrials,Specialty Industrial Machinery,9.97,23.44,19.03,30.010000000000005,-8.95,4.61,7.82,-30.44,-1.5700000000000003,3.33,-57.17,1.0,757520.0,1.31,30.19,Aug 05/a,61.4,1460000000.0
AMTM,Amentum Holdings Inc,Industrials,Specialty Business Services,23.48,7.42,553.88,-1.9900000000000002,0.0,2.5,6.13,-9.51,-27.940000000000005,0.25,-48.57,2.42,2089999.9999999998,2.12,19.6,Aug 10/a,29.58,4790000000.0
AMTX,Aemetis Inc,Basic Materials,Specialty Chemicals,,,67.43,20.02,-0.2,9.26,13.07,10.2,-18.18,1.81,-43.16,1.0,1020000.0,2.64,2.16,Aug 06/b,13.25,155890000.0
ANAB,AnaptysBio Inc,Healthcare,Biotechnology,,19.3,-43.62,-7.980000000000001,-1.9,5.66,19.59,-4.02,27.949999999999996,0.9,-23.71,1.2,585200.0,1.48,55.2,Sep 11,84.5,1630000000.0
ANF,Abercrombie & Fitch Co,Consumer Cyclical,Apparel Retail,11.63,10.49,43.22,4.81,-8.32,5.61,10.03,55.620000000000005,52.99,1.01,-12.54,1.94,1530000.0,1.06,135.76,Aug 26/b,163.55,5760000000.0
ANGI,Angi Inc,Communication Services,Internet Content & Information,,12.06,-2595.05,-10.86,0.0,-1.87,12.15,5.58,-30.54,1.72,-71.16,2.75,815260.0,1.69,5.3,Aug 04/a,8.0,214950000.0
ANGX,Angel Studios Inc,Communication Services,Entertainment,,,51.96999999999999,,1.6200000000000003,11.99,5.76,64.69,73.36,-0.24,-46.5,1.0,1520000.0,2.48,5.27,Aug 04/a,8.5,984210000.0
ANNX,Annexon Inc,Healthcare,Biotechnology,,,19.92,,2.63,15.509999999999998,19.45,-13.669999999999998,-22.95,1.33,-41.09,1.36,3620000.0,1.37,4.23,Aug 12/b,15.5,801920000.0
ANRO,Alto Neuroscience Inc,Healthcare,Biotechnology,,,1.28,,0.0,6.41,10.77,33.11,37.34,1.27,-19.24,1.27,563070.0,3.91,30.27,Aug 12/a,38.38,1190000000.0
ANVS,Annovis Bio Inc,Healthcare,Biotechnology,,,-23.75,,18.59,15.289999999999997,13.26,-34.86,-57.3,1.24,-79.27,1.0,928730.0,0.73,1.14,Aug 14/b,10.5,48650000.0
