date,horizon,signal,q,median,mean
2026-08-14,20,near_high,2,-0.06492592209148107,-0.052427646030295316
2026-08-14,20,near_high,3,-0.057526132284510645,-0.04090470565585756
2026-08-14,20,near_high,4,-0.05530838601965293,-0.05415930576245868
2026-08-14,20,near_high,5,-0.033773672556520085,-0.02395906213535565
2026-08-14,20,vs_sma50,1,-0.08816702576967439,-0.07614397818646464
2026-08-14,20,vs_sma50,2,-0.0604908617658973,-0.064873888633608
2026-08-14,20,vs_sma50,3,-0.0625722986337161,-0.053159151816514635
2026-08-14,20,vs_sma50,4,-0.0428623155075587,-0.044373231023314835
2026-08-14,20,vs_sma50,5,-0.03508768627628134,-0.02939026200739243
2026-08-14,20,vs_sma20,1,-0.06906432027734843,-0.06289454464436108
2026-08-14,20,vs_sma20,2,-0.06587504527070132,-0.07126329439647486
2026-08-14,20,vs_sma20,3,-0.045329246026216685,-0.02871902469591248
2026-08-14,20,vs_sma20,4,-0.0493705131516306,-0.03797829280214042
2026-08-14,20,vs_sma20,5,-0.0669257676481223,-0.06632067099006214
2026-08-14,20,rule5,1,-0.10960389613839083,-0.09597559253089637
2026-08-14,20,rule5,2,-0.080928480757055,-0.06679922669463698
2026-08-14,20,rule5,3,-0.04721376528188648,-0.03631166159743557
2026-08-14,20,rule5,4,-0.04330807673277837,-0.034127286655169835
2026-08-14,20,rule5,5,-0.03758303479713365,-0.03410373187702473
2026-08-14,20,rule5_mom20,1,-0.10874013665175941,-0.09787397811022905
2026-08-14,20,rule5_mom20,2,-0.07559386585238137,-0.0643538514696683
2026-08-14,20,rule5_mom20,3,-0.05324861195120556,-0.04276761750505394
2026-08-14,20,rule5_mom20,4,-0.04032860472183308,-0.02928692077312357
2026-08-14,20,rule5_mom20,5,-0.03638443913776579,-0.0330259160331113
2026-08-21,5,mom20,1,-0.017002001863692384,-0.008478839171702132
2026-08-21,5,mom20,2,-0.00881412954412425,-0.004606833306142645
2026-08-21,5,mom20,3,-0.011379789918527505,-0.016340041767696115
2026-08-21,5,mom20,4,-0.009367447968708087,-0.010885782794452818
2026-08-21,5,mom20,5,-0.01854961333846683,-0.016657158325652135
2026-08-21,5,vol_ratio,1,-0.009785295553880469,-0.01397876198899055
2026-08-21,5,vol_ratio,2,-0.013453497500428402,-0.010423268558937961
2026-08-21,5,vol_ratio,3,-0.016027016106991532,-0.018484813777080306
2026-08-21,5,vol_ratio,4,-0.010460406499051444,-0.013548140195389814
2026-08-21,5,vol_ratio,5,-0.008595522171447545,-0.0005436931443564768
2026-08-21,5,squeeze,1,-0.023345451731414113,-0.019154026199308526
2026-08-21,5,squeeze,2,-0.014352465604723974,-0.010171745569832438
2026-08-21,5,squeeze,3,-0.018320594015365788,-0.014873925652934985
2026-08-21,5,squeeze,4,-0.010787181201428853,-0.004747982817855028
2026-08-21,5,squeeze,5,-0.005916858951461712,-0.008014124115832803
2026-08-21,5,composite,1,-0.01832649994274299,-0.011163690640258022
2026-08-21,5,composite,2,-0.015972489650591448,-0.01011361460371617
2026-08-21,5,composite,3,-0.010380640345549086,-0.014755368735786142
2026-08-21,5,composite,4,-0.01168842186615926,-0.017422537367983413
