date,horizon,signal,ic
2026-07-10,5,rule5,0.36564335436692386
2026-07-10,5,rule5_mom20,0.3595239288788434
2026-07-10,10,mom20,0.11476233251049096
2026-07-10,10,vol_ratio,0.09648919921776873
2026-07-10,10,squeeze,0.32558227849472243
2026-07-10,10,composite,0.24469426010660758
2026-07-10,10,mom5,0.254895750887592
2026-07-10,10,mom60_skip5,-0.08655153099674943
2026-07-10,10,mom60_riskadj,-0.07290553568701047
2026-07-10,10,vol_5_50,0.15608640817641506
2026-07-10,10,squeeze_own,-0.00984104805600283
2026-07-10,10,low_vol,0.3665046633744137
2026-07-10,10,near_high,0.31018858434146457
2026-07-10,10,vs_sma50,0.14817540639849097
2026-07-10,10,vs_sma20,0.2316043519277052
2026-07-10,10,rule5,0.34095155191388676
2026-07-10,10,rule5_mom20,0.3192634129746037
2026-07-10,20,mom20,0.014740490972720047
2026-07-10,20,vol_ratio,0.05591707852274606
2026-07-10,20,squeeze,0.14929173277020524
2026-07-10,20,composite,0.07976106149415829
2026-07-10,20,mom5,0.0347660586309874
2026-07-10,20,mom60_skip5,-0.03589824099083278
2026-07-10,20,mom60_riskadj,-0.046590408062643356
2026-07-10,20,vol_5_50,0.07413510186358754
2026-07-10,20,squeeze_own,0.00659682670636132
2026-07-10,20,low_vol,0.17048676679681152
2026-07-10,20,near_high,0.11018348449074618
2026-07-10,20,vs_sma50,0.02859663520406927
2026-07-10,20,vs_sma20,0.0741432347392002
2026-07-10,20,rule5,0.12985415254186808
2026-07-10,20,rule5_mom20,0.11498921478493565
2026-07-17,5,mom20,-0.05425411151403389
2026-07-17,5,vol_ratio,0.0871015613952618
2026-07-17,5,squeeze,0.19860785887910276
2026-07-17,5,composite,0.09491967888003724
2026-07-17,5,mom5,-0.002951657235937448
2026-07-17,5,mom60_skip5,-0.10653671985591727
2026-07-17,5,mom60_riskadj,-0.1101694287235586
2026-07-17,5,vol_5_50,0.012887999170692653
2026-07-17,5,squeeze_own,0.08476313250863933
2026-07-17,5,low_vol,0.17861888239145948
2026-07-17,5,near_high,0.04655174321515141
2026-07-17,5,vs_sma50,-0.05105879663513021
2026-07-17,5,vs_sma20,-0.00020389213955228597
2026-07-17,5,rule5,0.11487310990651292
2026-07-17,5,rule5_mom20,0.08601169141620288
2026-07-17,10,mom20,0.054237412661985195
2026-07-17,10,vol_ratio,0.08299267763210413
2026-07-17,10,squeeze,0.15840659334229543
2026-07-17,10,composite,0.1293501944281795
2026-07-17,10,mom5,0.005970520092151379
2026-07-17,10,mom60_skip5,-0.07207670966451049
2026-07-17,10,mom60_riskadj,-0.08040439749785193
2026-07-17,10,vol_5_50,0.0162232818458081
2026-07-17,10,squeeze_own,0.05379161543442942
2026-07-17,10,low_vol,0.17136777854450855
2026-07-17,10,near_high,0.08613567614555279
2026-07-17,10,vs_sma50,0.01760119647883177
2026-07-17,10,vs_sma20,0.06801128538205006
2026-07-17,10,rule5,0.12604739853124103
2026-07-17,10,rule5_mom20,0.11731584763970099
2026-07-17,20,mom20,-0.0970631660385413
2026-07-17,20,vol_ratio,0.09458874390226353
2026-07-17,20,squeeze,-0.008049371514909148
2026-07-17,20,composite,-0.03260090879536773
2026-07-17,20,mom5,-0.10000898151974846
2026-07-17,20,mom60_skip5,-0.059005160191634216
2026-07-17,20,mom60_riskadj,-0.07997310274722197
2026-07-17,20,vol_5_50,-0.008779859908556134
2026-07-17,20,squeeze_own,0.03481823894985988
2026-07-17,20,low_vol,-0.004042405283679125
2026-07-17,20,near_high,-0.10353693851712562
2026-07-17,20,vs_sma50,-0.12828742556986175
2026-07-17,20,vs_sma20,-0.11469874872948962
2026-07-17,20,rule5,-0.04722172636610499
2026-07-17,20,rule5_mom20,-0.06488867555196988
2026-07-24,5,mom20,0.06283940832652342
2026-07-24,5,vol_ratio,0.05330149776244495
2026-07-24,5,squeeze,0.04852571760080193
2026-07-24,5,composite,0.0662090598535118
2026-07-24,5,mom5,-0.06062811463853726
2026-07-24,5,mom60_skip5,-0.0006359238833607465
2026-07-24,5,mom60_riskadj,0.009480323367144878
2026-07-24,5,vol_5_50,0.025749882641370733
2026-07-24,5,squeeze_own,0.0534197209089673
2026-07-24,5,low_vol,0.03761409331102596
2026-07-24,5,near_high,0.06936172055967896
