date,horizon,signal,partial_ic
2026-06-12,5,rule5_mom20,0.009867651887628318
2026-06-12,10,mom20,0.15525276606611738
2026-06-12,10,vol_ratio,0.06257819965224065
2026-06-12,10,squeeze,0.031064052908851867
2026-06-12,10,composite,0.17438266233206542
2026-06-12,10,mom5,0.13878590816751038
2026-06-12,10,mom60_skip5,0.05528308655067401
2026-06-12,10,mom60_riskadj,0.05630871432670896
2026-06-12,10,vol_5_50,-0.01031984781309778
2026-06-12,10,squeeze_own,0.03947204013579133
2026-06-12,10,near_high,0.05363795516765413
2026-06-12,10,vs_sma50,0.1077378497332046
2026-06-12,10,vs_sma20,0.13391936606307112
2026-06-12,10,rule5,0.08919796121783832
2026-06-12,10,rule5_mom20,0.12295911598924071
2026-06-12,20,mom20,0.14530544829075015
2026-06-12,20,vol_ratio,0.057639757999031475
2026-06-12,20,squeeze,0.04621722573640167
2026-06-12,20,composite,0.16119104015270622
2026-06-12,20,mom5,0.14493811095790365
2026-06-12,20,mom60_skip5,-0.0005049138644431292
2026-06-12,20,mom60_riskadj,0.008814900362358807
2026-06-12,20,vol_5_50,0.03255948516030242
2026-06-12,20,squeeze_own,0.01804271450889385
2026-06-12,20,near_high,0.05458705257911639
2026-06-12,20,vs_sma50,0.07706250033869676
2026-06-12,20,vs_sma20,0.15896696939824023
2026-06-12,20,rule5,0.0963767018680156
2026-06-12,20,rule5_mom20,0.123202624338291
2026-06-18,5,mom20,0.12377326661082837
2026-06-18,5,vol_ratio,0.08448618235734005
2026-06-18,5,squeeze,0.058818031982307506
2026-06-18,5,composite,0.16519073111155697
2026-06-18,5,mom5,-0.01782807865409883
2026-06-18,5,mom60_skip5,0.008011795861500031
2026-06-18,5,mom60_riskadj,0.026965764459229283
2026-06-18,5,vol_5_50,0.0741622795940987
2026-06-18,5,squeeze_own,0.025062985831975523
2026-06-18,5,near_high,0.09549715855006186
2026-06-18,5,vs_sma50,0.06785767060373449
2026-06-18,5,vs_sma20,0.14144676040244888
2026-06-18,5,rule5,0.14465289201335652
2026-06-18,5,rule5_mom20,0.154233690699513
2026-06-18,10,mom20,0.04547806354760924
2026-06-18,10,vol_ratio,0.1054364059439372
2026-06-18,10,squeeze,0.029176153878324645
2026-06-18,10,composite,0.09603183168243687
2026-06-18,10,mom5,-0.022891724267763397
2026-06-18,10,mom60_skip5,-0.08622289571645964
2026-06-18,10,mom60_riskadj,-0.06730854808385654
2026-06-18,10,vol_5_50,0.06801114521812483
2026-06-18,10,squeeze_own,-0.0017630107475328951
2026-06-18,10,near_high,0.012043451931739203
2026-06-18,10,vs_sma50,-0.026375937777833987
2026-06-18,10,vs_sma20,0.06893700764369766
2026-06-18,10,rule5,0.06325456118924486
2026-06-18,10,rule5_mom20,0.06877326364004488
2026-06-18,20,mom20,0.0470208117927655
2026-06-18,20,vol_ratio,0.09967395059313716
2026-06-18,20,squeeze,0.05840347055501365
2026-06-18,20,composite,0.09083069416117322
2026-06-18,20,mom5,-0.11146912426524629
2026-06-18,20,mom60_skip5,-0.06448971899295873
2026-06-18,20,mom60_riskadj,-0.0514305491869614
2026-06-18,20,vol_5_50,0.060668295971383436
2026-06-18,20,squeeze_own,0.006502414013922772
2026-06-18,20,near_high,0.008635266189714023
2026-06-18,20,vs_sma50,-0.01791634387250667
2026-06-18,20,vs_sma20,0.013736543923239251
