date,horizon,signal,ic_magnitude
2026-06-12,5,mom60_skip5,0.08496219229030998
2026-06-12,5,mom60_riskadj,0.0828484875788871
2026-06-12,5,vol_5_50,-0.025490046121494376
2026-06-12,5,squeeze_own,0.0009144226198034714
2026-06-12,5,low_vol,-0.12534181916442652
2026-06-12,5,near_high,-0.08164096423624677
2026-06-12,5,vs_sma50,0.05516518973890702
2026-06-12,5,vs_sma20,-0.0437698336054985
2026-06-12,5,rule5,-0.07749816061497279
2026-06-12,5,rule5_mom20,-0.07057136981014167
2026-06-12,10,mom20,0.1496824331479209
2026-06-12,10,vol_ratio,0.07023148288993718
2026-06-12,10,squeeze,0.04930728713820739
2026-06-12,10,composite,0.158286349637936
2026-06-12,10,mom5,0.14508669551654374
2026-06-12,10,mom60_skip5,0.06601971915516998
2026-06-12,10,mom60_riskadj,0.07049441481011202
2026-06-12,10,vol_5_50,-0.004428243805305692
2026-06-12,10,squeeze_own,0.03296871296223573
2026-06-12,10,low_vol,0.04645253692132176
2026-06-12,10,near_high,0.06536781928584051
2026-06-12,10,vs_sma50,0.11342573326745943
2026-06-12,10,vs_sma20,0.13008099562840725
2026-06-12,10,rule5,0.08154988172998455
2026-06-12,10,rule5_mom20,0.10562788443842212
2026-06-12,20,mom20,0.17757609425471602
2026-06-12,20,vol_ratio,0.10283884144938128
2026-06-12,20,squeeze,0.21674287679226542
2026-06-12,20,composite,0.257358596584194
2026-06-12,20,mom5,0.1923721061306271
2026-06-12,20,mom60_skip5,-0.0010367874876860866
2026-06-12,20,mom60_riskadj,0.011836158209341797
2026-06-12,20,vol_5_50,0.05249819903639547
2026-06-12,20,squeeze_own,0.08090042344424418
2026-06-12,20,low_vol,0.21730860035853275
2026-06-12,20,near_high,0.16609210502821922
2026-06-12,20,vs_sma50,0.10365614507924131
2026-06-12,20,vs_sma20,0.21197413080730362
2026-06-12,20,rule5,0.21929159885936006
2026-06-12,20,rule5_mom20,0.2318987427711548
2026-06-18,5,mom20,0.10053518968612761
2026-06-18,5,vol_ratio,0.20122427354596062
2026-06-18,5,squeeze,0.24352664589118464
2026-06-18,5,composite,0.26200972120208765
2026-06-18,5,mom5,-0.023465191161779166
2026-06-18,5,mom60_skip5,-0.018933767958956783
2026-06-18,5,mom60_riskadj,0.005263276225980635
2026-06-18,5,vol_5_50,0.14420345195354875
2026-06-18,5,squeeze_own,0.09524558894437443
2026-06-18,5,low_vol,0.26809166017073477
2026-06-18,5,near_high,0.20563479766946083
